neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Somerst,7438.0,250000.0,2,126.95300006866455,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,9434.0,250000.0,2,179.50999999046326,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,11556.0,250000.0,2,140.48300004005432,0.0,174318.34990587368,286669.46875,12.068572247045413,12.566088676452637,192171.32999999987,-17852.980094126193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,7438.0,500000.0,9,300.06500005722046,0.6536216709046957,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,9434.0,500000.0,9,300.0640001296997,0.6200262199255748,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Somerst,11556.0,500000.0,9,300.04500007629395,0.6113759251881198,174275.52967923126,286669.46875,12.068322002317442,12.566088676452637,192171.32999999975,-17895.800320768496,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,250000.0,2,105.37800002098083,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,250000.0,2,95.6579999923706,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,250000.0,2,99.20899987220764,0.0,174781.7919837677,287447.78125,12.071280638518473,12.56879997253418,192381.32999999984,-17599.538016232138,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,500000.0,9,300.0739998817444,0.14505376902970982,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,500000.0,9,300.05200004577637,0.1984222584386056,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,500000.0,9,300.0659999847412,0.17523641167481063,174781.79198552764,287447.78125,12.07128063852876,12.56879997253418,192381.3299999984,-17599.538014470745,1.0,0.0,450.0,0.0,398.0,2.0,1.0,0.0,1.0
Edwards,7438.0,250000.0,2,127.2590000629425,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,9434.0,250000.0,2,140.40300011634827,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,11556.0,250000.0,2,146.17400002479553,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,7438.0,500000.0,9,300.047000169754,0.28012614152509524,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,9434.0,500000.0,9,300.0720000267029,0.3176213254823943,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,11556.0,500000.0,9,300.04299998283386,0.28012614152509524,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,250000.0,2,195.72099995613098,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,9434.0,250000.0,2,178.20199990272522,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,11556.0,250000.0,2,176.63300013542175,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,500000.0,9,300.04900002479553,0.5399985679306583,174624.52513152844,287182.8125,12.070361558807294,12.567877769470215,192171.32999999973,-17546.804868471285,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,9434.0,500000.0,9,300.05999994277954,0.5399985679306583,174624.52513152844,287182.8125,12.070361558807294,12.567877769470215,192171.32999999973,-17546.804868471285,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,11556.0,500000.0,9,300.0439999103546,0.49387719032584254,174624.52513679274,287182.8125,12.070361558858554,12.567877769470215,192171.32999999967,-17546.804863206926,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,7438.0,250000.0,2,207.29900002479553,0.0,178302.19084902894,293250.84375,12.09100029298527,12.588787078857422,192171.32999999906,-13869.13915097012,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,9434.0,250000.0,2,211.4689998626709,0.0,178302.19084902894,293250.84375,12.09100029298527,12.588787078857422,192171.32999999906,-13869.13915097012,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,11556.0,250000.0,2,216.47900009155273,0.0,178302.19084902894,293250.84375,12.09100029298527,12.588787078857422,192171.32999999906,-13869.13915097012,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,7438.0,500000.0,9,300.0369999408722,0.43394972692797784,178339.09216061517,292965.71875,12.091206601371963,12.587814331054688,192171.329999999,-13832.23783938383,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,9434.0,500000.0,9,300.0369999408722,0.43959394356973525,178339.09216061517,292965.71875,12.091206601371963,12.587814331054688,192171.329999999,-13832.23783938383,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,11556.0,500000.0,9,300.0499999523163,0.6426357841794481,178339.09216061517,292965.71875,12.091206601371963,12.587814331054688,192171.329999999,-13832.23783938383,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
IDOTRR,7438.0,250000.0,2,175.6159999370575,0.0,175505.1526492317,288698.625,12.07536257133036,12.573142051696777,192171.32999999987,-16666.17735076818,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,7438.0,250000.0,2,122.78600001335144,0.0,347640.1103351778,284692.875,12.561221541532039,12.55916976928711,198857.0,148783.1103351778,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,9434.0,250000.0,2,92.4079999923706,0.0,347640.1103351778,284692.875,12.561221541532039,12.55916976928711,198857.0,148783.1103351778,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Veenker,11556.0,250000.0,9,300.1180000305176,0.13005197868264434,313377.61057061516,247222.9375,12.41873885822273,12.418049812316895,184589.9999199998,128787.61065061536,1.0,0.0,450.0,0.0,0.0,2.0,1.0,0.0,1.0
Veenker,9434.0,500000.0,9,300.3359999656677,2.195356416029372,373165.8153328115,369308.125,12.829776850622702,12.819389343261719,268671.5,104494.3153328115,1.0,0.0,450.0,0.0,397.0,2.0,1.0,0.0,1.0
Veenker,11556.0,500000.0,9,300.29299998283386,2.195356416029372,373165.8153328115,369308.125,12.829776850622702,12.819389343261719,268671.5,104494.3153328115,1.0,0.0,450.0,0.0,397.0,2.0,1.0,0.0,1.0
